"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS"
"1953" "F" 0.675 0.51 0.185 1.473 0.6295 0.3025 0.4245 11 "A4"
"1954" "M" 0.68 0.54 0.19 1.623 0.7165 0.354 0.4715 12 "A4"
"1955" "M" 0.68 0.54 0.155 1.534 0.671 0.379 0.384 10 "A3"
"1956" "M" 0.685 0.535 0.155 1.3845 0.6615 0.2145 0.4075 10 "A3"
"1957" "M" 0.69 0.55 0.18 1.6915 0.6655 0.402 0.5 11 "A4"
"1958" "M" 0.695 0.545 0.185 1.5715 0.6645 0.3835 0.4505 13 "A5"
"1959" "F" 0.7 0.575 0.205 1.773 0.605 0.447 0.538 13 "A5"
"1960" "M" 0.7 0.55 0.175 1.4405 0.6565 0.2985 0.375 12 "A4"
"1961" "M" 0.7 0.55 0.195 1.6245 0.675 0.347 0.535 13 "A5"
"1962" "F" 0.705 0.535 0.22 1.866 0.929 0.3835 0.4395 10 "A3"
"1963" "F" 0.72 0.575 0.18 1.6705 0.732 0.3605 0.501 12 "A4"
"1964" "M" 0.72 0.565 0.19 2.081 1.0815 0.4305 0.503 11 "A4"
"1965" "F" 0.725 0.57 0.205 1.6195 0.744 0.315 0.488 11 "A4"
"1966" "F" 0.75 0.55 0.195 1.8325 0.83 0.366 0.44 11 "A4"
"1967" "M" 0.76 0.605 0.215 2.173 0.801 0.4915 0.646 13 "A5"
"1968" "I" 0.135 0.13 0.04 0.029 0.0125 0.0065 0.008 4 "A1"
"1969" "I" 0.16 0.11 0.025 0.0195 0.0075 0.005 0.006 4 "A1"
"1970" "I" 0.21 0.15 0.055 0.0465 0.017 0.012 0.015 5 "A1"
"1971" "I" 0.28 0.21 0.075 0.1195 0.053 0.0265 0.03 6 "A1"
"1972" "I" 0.28 0.2 0.065 0.0895 0.036 0.0185 0.03 7 "A2"
"1973" "I" 0.285 0.215 0.06 0.0935 0.031 0.023 0.03 6 "A1"
"1974" "I" 0.29 0.21 0.07 0.1115 0.048 0.0205 0.03 5 "A1"
"1975" "I" 0.29 0.21 0.06 0.1195 0.056 0.0235 0.03 6 "A1"
"1976" "I" 0.29 0.21 0.065 0.097 0.0375 0.022 0.03 6 "A1"
"1977" "I" 0.32 0.24 0.07 0.133 0.0585 0.0255 0.041 6 "A1"
"1978" "I" 0.325 0.25 0.07 0.1745 0.0875 0.0355 0.04 7 "A2"
"1979" "I" 0.335 0.25 0.08 0.1695 0.0695 0.044 0.0495 6 "A1"
"1980" "I" 0.35 0.235 0.08 0.17 0.0725 0.0465 0.0495 7 "A2"
"1981" "I" 0.35 0.25 0.07 0.1605 0.0715 0.0335 0.046 6 "A1"
"1982" "I" 0.355 0.27 0.105 0.271 0.1425 0.0525 0.0735 9 "A3"
"1983" "I" 0.36 0.27 0.085 0.2185 0.1065 0.038 0.062 6 "A1"
"1984" "I" 0.36 0.27 0.085 0.196 0.0905 0.034 0.053 7 "A2"
"1985" "I" 0.375 0.28 0.08 0.226 0.105 0.047 0.065 6 "A1"
"1986" "I" 0.375 0.275 0.085 0.22 0.109 0.05 0.0605 7 "A2"
"1987" "I" 0.395 0.29 0.095 0.3 0.158 0.068 0.078 7 "A2"
"1988" "I" 0.405 0.25 0.09 0.2875 0.128 0.063 0.0805 7 "A2"
"1989" "I" 0.415 0.325 0.11 0.316 0.1385 0.0795 0.0925 8 "A2"
"1990" "I" 0.425 0.315 0.095 0.3675 0.1865 0.0675 0.0985 7 "A2"
"1991" "I" 0.43 0.32 0.11 0.3675 0.1675 0.102 0.105 8 "A2"
"1992" "I" 0.435 0.325 0.12 0.346 0.159 0.084 0.095 7 "A2"
"1993" "M" 0.45 0.33 0.105 0.4955 0.2575 0.082 0.129 8 "A2"
"1994" "I" 0.46 0.35 0.11 0.4675 0.2125 0.099 0.1375 7 "A2"
"1995" "M" 0.47 0.365 0.135 0.522 0.2395 0.1525 0.145 10 "A3"
"1996" "I" 0.47 0.375 0.105 0.441 0.167 0.0865 0.145 10 "A3"
"1997" "I" 0.475 0.365 0.12 0.5185 0.268 0.1095 0.1365 8 "A2"
"1998" "M" 0.505 0.39 0.12 0.653 0.3315 0.1385 0.167 9 "A3"
"1999" "M" 0.505 0.395 0.135 0.5915 0.288 0.1315 0.185 12 "A4"
"2000" "M" 0.505 0.385 0.115 0.4825 0.21 0.1035 0.1535 10 "A3"
"2001" "I" 0.51 0.455 0.135 0.6855 0.2875 0.154 0.2035 9 "A3"
"2002" "M" 0.515 0.4 0.14 0.6335 0.288 0.145 0.168 9 "A3"
"2003" "M" 0.525 0.41 0.13 0.6875 0.3435 0.1495 0.1765 9 "A3"
"2004" "F" 0.53 0.43 0.15 0.741 0.325 0.1855 0.196 9 "A3"
"2005" "F" 0.53 0.405 0.13 0.6355 0.2635 0.1565 0.185 9 "A3"
"2006" "M" 0.545 0.44 0.14 0.8395 0.356 0.1905 0.2385 11 "A4"
"2007" "F" 0.55 0.47 0.15 0.9205 0.381 0.2435 0.2675 10 "A3"
"2008" "F" 0.56 0.41 0.16 0.8215 0.342 0.184 0.253 9 "A3"
"2009" "M" 0.565 0.445 0.145 0.9255 0.4345 0.212 0.2475 9 "A3"
"2010" "F" 0.57 0.435 0.15 0.8295 0.3875 0.156 0.245 10 "A3"
"2011" "M" 0.58 0.46 0.16 1.063 0.513 0.2705 0.2625 9 "A3"
"2012" "M" 0.59 0.465 0.165 1.115 0.5165 0.273 0.275 10 "A3"
"2013" "F" 0.6 0.45 0.14 0.837 0.37 0.177 0.2425 10 "A3"
"2014" "M" 0.605 0.445 0.14 0.982 0.4295 0.2085 0.295 12 "A4"
"2015" "M" 0.61 0.49 0.16 1.112 0.465 0.228 0.341 10 "A3"
"2016" "F" 0.625 0.515 0.18 1.3485 0.5255 0.252 0.3925 14 "A5"
"2017" "M" 0.66 0.515 0.195 1.5655 0.7345 0.353 0.386 9 "A3"
"2018" "I" 0.255 0.19 0.06 0.086 0.04 0.0185 0.025 5 "A1"
"2019" "I" 0.27 0.195 0.065 0.1065 0.0475 0.0225 0.0285 5 "A1"
"2020" "I" 0.28 0.215 0.08 0.132 0.072 0.022 0.033 5 "A1"
"2021" "I" 0.285 0.215 0.07 0.1075 0.051 0.0225 0.027 6 "A1"
"2022" "I" 0.32 0.255 0.085 0.1745 0.072 0.033 0.057 8 "A2"
"2023" "I" 0.325 0.24 0.07 0.152 0.0565 0.0305 0.054 8 "A2"
"2024" "I" 0.385 0.28 0.1 0.2755 0.1305 0.061 0.0725 8 "A2"
"2025" "I" 0.395 0.295 0.1 0.293 0.14 0.062 0.082 7 "A2"
"2026" "F" 0.4 0.305 0.16 0.368 0.173 0.0705 0.105 7 "A2"
"2027" "I" 0.405 0.31 0.09 0.312 0.138 0.06 0.087 8 "A2"
"2028" "I" 0.415 0.305 0.12 0.336 0.165 0.076 0.0805 7 "A2"
"2029" "I" 0.42 0.315 0.115 0.355 0.1895 0.065 0.087 6 "A1"
"2030" "I" 0.44 0.305 0.115 0.379 0.162 0.091 0.11 9 "A3"
"2031" "I" 0.445 0.32 0.12 0.378 0.152 0.0825 0.12 8 "A2"
"2032" "M" 0.45 0.35 0.13 0.4655 0.2075 0.1045 0.135 8 "A2"
"2033" "M" 0.46 0.345 0.12 0.4935 0.2435 0.1175 0.132 8 "A2"
"2034" "M" 0.46 0.345 0.11 0.4595 0.235 0.0885 0.116 7 "A2"
"2035" "M" 0.465 0.36 0.11 0.4955 0.2665 0.085 0.121 7 "A2"
"2036" "I" 0.465 0.355 0.09 0.4325 0.2005 0.074 0.1275 9 "A3"
"2037" "F" 0.475 0.38 0.14 0.689 0.3165 0.1315 0.1955 7 "A2"
"2038" "I" 0.48 0.35 0.135 0.5465 0.2735 0.0995 0.158 8 "A2"
"2039" "M" 0.485 0.39 0.135 0.617 0.25 0.1345 0.1635 8 "A2"
"2040" "I" 0.49 0.37 0.11 0.538 0.271 0.1035 0.139 8 "A2"
"2041" "M" 0.5 0.39 0.135 0.7815 0.361 0.1575 0.2385 9 "A3"
"2042" "F" 0.5 0.38 0.14 0.6355 0.277 0.143 0.1785 8 "A2"
"2043" "M" 0.505 0.385 0.13 0.6435 0.3135 0.149 0.1515 7 "A2"
"2044" "M" 0.525 0.385 0.1 0.5115 0.246 0.1005 0.1455 8 "A2"
"2045" "M" 0.535 0.42 0.125 0.738 0.355 0.1895 0.1795 8 "A2"
"2046" "F" 0.535 0.42 0.13 0.699 0.3125 0.1565 0.2035 8 "A2"
"2047" "F" 0.54 0.385 0.14 0.7655 0.3265 0.116 0.2365 10 "A3"
"2048" "F" 0.54 0.42 0.13 0.7505 0.368 0.1675 0.1845 9 "A3"
"2049" "F" 0.545 0.43 0.16 0.844 0.3945 0.1855 0.231 9 "A3"
"2050" "M" 0.55 0.41 0.13 0.8705 0.4455 0.2115 0.213 9 "A3"
"2051" "I" 0.55 0.42 0.115 0.668 0.2925 0.137 0.209 11 "A4"
"2052" "F" 0.565 0.44 0.135 0.83 0.393 0.1735 0.238 9 "A3"
"2053" "M" 0.58 0.45 0.12 0.8685 0.418 0.1475 0.2605 8 "A2"
"2054" "F" 0.58 0.435 0.15 0.839 0.3485 0.207 0.192 7 "A2"
"2055" "F" 0.585 0.485 0.15 1.079 0.4145 0.2115 0.356 11 "A4"
"2056" "M" 0.595 0.465 0.15 0.919 0.4335 0.1765 0.262 9 "A3"
"2057" "F" 0.6 0.47 0.19 1.1345 0.492 0.2595 0.3375 10 "A3"
"2058" "F" 0.61 0.43 0.14 0.909 0.438 0.2 0.22 8 "A2"
"2059" "M" 0.61 0.48 0.165 1.2435 0.5575 0.2675 0.372 8 "A2"
"2060" "F" 0.62 0.49 0.16 1.056 0.493 0.244 0.2725 9 "A3"
"2061" "M" 0.645 0.495 0.15 1.2095 0.603 0.2225 0.339 9 "A3"
"2062" "M" 0.65 0.5 0.14 1.238 0.6165 0.2355 0.32 8 "A2"
"2063" "F" 0.665 0.525 0.21 1.644 0.818 0.3395 0.4275 10 "A3"
"2064" "M" 0.685 0.55 0.2 1.7725 0.813 0.387 0.49 11 "A4"
"2065" "F" 0.705 0.57 0.185 1.761 0.747 0.3725 0.488 10 "A3"
"2066" "F" 0.71 0.5 0.15 1.3165 0.6835 0.2815 0.28 10 "A3"
"2067" "M" 0.72 0.585 0.22 1.914 0.9155 0.448 0.479 11 "A4"
"2068" "F" 0.72 0.575 0.215 2.1 0.8565 0.4825 0.602 12 "A4"
"2069" "F" 0.73 0.555 0.18 1.6895 0.6555 0.1965 0.4935 10 "A3"
"2070" "M" 0.775 0.57 0.22 2.032 0.735 0.4755 0.6585 17 "A6"
"2071" "F" 0.505 0.39 0.115 0.66 0.3045 0.1555 0.175 8 "A2"
"2072" "M" 0.53 0.425 0.13 0.7455 0.2995 0.1355 0.245 10 "A3"
"2073" "F" 0.505 0.385 0.115 0.616 0.243 0.1075 0.21 11 "A4"
"2074" "I" 0.405 0.305 0.09 0.2825 0.114 0.0575 0.095 7 "A2"
"2075" "M" 0.415 0.3 0.1 0.3355 0.1545 0.0685 0.095 7 "A2"
"2076" "M" 0.5 0.39 0.145 0.651 0.273 0.132 0.22 11 "A4"
"2077" "M" 0.425 0.33 0.08 0.361 0.134 0.0825 0.125 7 "A2"
"2078" "M" 0.47 0.35 0.1 0.4775 0.1885 0.0885 0.175 8 "A2"
"2079" "F" 0.4 0.31 0.115 0.3465 0.1475 0.0695 0.115 10 "A3"
"2080" "I" 0.37 0.29 0.1 0.25 0.1025 0.0505 0.085 10 "A3"
"2081" "M" 0.5 0.38 0.155 0.66 0.2655 0.1365 0.215 19 "A6"
"2082" "I" 0.41 0.31 0.11 0.315 0.124 0.082 0.095 9 "A3"
"2083" "M" 0.375 0.29 0.1 0.276 0.1175 0.0565 0.085 9 "A3"
"2084" "F" 0.49 0.385 0.125 0.5395 0.2175 0.128 0.165 11 "A4"
"2085" "M" 0.585 0.48 0.185 1.04 0.434 0.265 0.285 10 "A3"
"2086" "M" 0.595 0.455 0.155 1.041 0.416 0.2105 0.365 14 "A5"
"2087" "F" 0.675 0.55 0.18 1.6885 0.562 0.3705 0.6 15 "A6"
"2088" "M" 0.665 0.535 0.225 2.1835 0.7535 0.391 0.885 27 "A6"
"2089" "M" 0.62 0.49 0.17 1.2105 0.5185 0.2555 0.335 13 "A5"
"2090" "I" 0.325 0.25 0.055 0.166 0.076 0.051 0.045 5 "A1"
"2091" "I" 0.455 0.355 0.08 0.452 0.2165 0.0995 0.125 9 "A3"
"2092" "M" 0.525 0.405 0.13 0.7185 0.3265 0.1975 0.175 8 "A2"
"2093" "I" 0.385 0.29 0.09 0.232 0.0855 0.0495 0.08 7 "A2"
"2094" "I" 0.13 0.095 0.035 0.0105 0.005 0.0065 0.0035 4 "A1"
"2095" "I" 0.18 0.13 0.045 0.0275 0.0125 0.01 0.009 3 "A1"
"2096" "I" 0.31 0.225 0.05 0.1445 0.0675 0.0385 0.045 6 "A1"
"2097" "F" 0.375 0.29 0.08 0.282 0.1405 0.0725 0.08 7 "A2"
"2098" "F" 0.48 0.38 0.12 0.608 0.2705 0.1405 0.185 8 "A2"
"2099" "I" 0.455 0.37 0.125 0.433 0.201 0.1265 0.145 9 "A3"
"2100" "M" 0.425 0.325 0.1 0.3295 0.1365 0.0725 0.11 7 "A2"
"2101" "I" 0.475 0.36 0.11 0.4555 0.177 0.0965 0.145 9 "A3"
"2102" "F" 0.435 0.35 0.12 0.4585 0.192 0.1 0.13 11 "A4"
"2103" "F" 0.29 0.21 0.075 0.275 0.113 0.0675 0.035 6 "A1"
"2104" "M" 0.385 0.295 0.095 0.335 0.147 0.094 0.09 7 "A2"
"2105" "M" 0.47 0.375 0.115 0.4265 0.1685 0.0755 0.15 8 "A2"
"2106" "F" 0.5 0.4 0.125 0.5765 0.2395 0.126 0.185 10 "A3"
"2107" "M" 0.62 0.51 0.175 1.1505 0.4375 0.2265 0.4 12 "A4"
"2108" "M" 0.595 0.47 0.15 0.8915 0.359 0.2105 0.245 12 "A4"
"2109" "M" 0.585 0.455 0.14 0.97 0.462 0.185 0.295 9 "A3"
"2110" "M" 0.32 0.24 0.08 0.18 0.08 0.0385 0.055 6 "A1"
"2111" "F" 0.52 0.41 0.125 0.6985 0.2945 0.1625 0.215 10 "A3"
"2112" "M" 0.44 0.35 0.11 0.4585 0.2 0.0885 0.13 9 "A3"
"2113" "F" 0.44 0.33 0.115 0.4005 0.143 0.113 0.12 8 "A2"
"2114" "M" 0.565 0.425 0.1 0.7145 0.3055 0.166 0.18 12 "A4"
"2115" "F" 0.56 0.425 0.125 0.932 0.361 0.213 0.335 9 "A3"
"2116" "F" 0.59 0.455 0.175 0.966 0.391 0.2455 0.31 10 "A3"
"2117" "F" 0.57 0.465 0.18 0.9995 0.405 0.277 0.295 16 "A6"
"2118" "M" 0.68 0.53 0.205 1.496 0.5825 0.337 0.465 14 "A5"
"2119" "F" 0.45 0.36 0.125 0.5065 0.222 0.105 0.16 10 "A3"
"2120" "I" 0.32 0.24 0.075 0.1735 0.076 0.0355 0.05 7 "A2"
"2121" "I" 0.46 0.35 0.11 0.3945 0.1685 0.0865 0.125 9 "A3"
"2122" "M" 0.47 0.37 0.105 0.4665 0.2025 0.1015 0.155 10 "A3"
"2123" "M" 0.455 0.35 0.105 0.401 0.1575 0.083 0.135 9 "A3"
"2124" "F" 0.415 0.325 0.115 0.3455 0.1405 0.0765 0.11 9 "A3"
"2125" "M" 0.465 0.35 0.12 0.5205 0.2015 0.1625 0.185 11 "A4"
"2126" "M" 0.46 0.375 0.135 0.4935 0.186 0.0845 0.17 12 "A4"
"2127" "M" 0.415 0.31 0.09 0.3245 0.1305 0.0735 0.115 8 "A2"
"2128" "M" 0.27 0.195 0.07 0.106 0.0465 0.018 0.036 7 "A2"
"2129" "M" 0.445 0.355 0.11 0.4415 0.1805 0.1035 0.1505 10 "A3"
"2130" "F" 0.745 0.585 0.19 1.966 0.8435 0.437 0.5855 18 "A6"
"2131" "F" 0.4 0.3 0.115 0.3025 0.1335 0.0465 0.0935 8 "A2"
"2132" "I" 0.28 0.2 0.075 0.1225 0.0545 0.0115 0.035 5 "A1"
"2133" "M" 0.55 0.44 0.135 0.879 0.368 0.2095 0.265 10 "A3"
"2134" "M" 0.58 0.46 0.165 1.2275 0.473 0.1965 0.435 16 "A6"
"2135" "M" 0.61 0.5 0.165 1.2715 0.4915 0.185 0.49 12 "A4"
"2136" "M" 0.62 0.495 0.175 1.806 0.643 0.3285 0.725 17 "A6"
"2137" "M" 0.56 0.42 0.195 0.8085 0.3025 0.1795 0.285 14 "A5"
"2138" "F" 0.64 0.51 0.2 1.3905 0.61 0.3315 0.41 12 "A4"
"2139" "M" 0.69 0.55 0.2 1.8465 0.732 0.472 0.57 19 "A6"
"2140" "F" 0.715 0.565 0.24 2.1995 0.7245 0.465 0.885 17 "A6"
"2141" "F" 0.71 0.565 0.195 1.817 0.785 0.492 0.49 11 "A4"
"2142" "F" 0.55 0.47 0.15 0.897 0.377 0.184 0.29 9 "A3"
"2143" "M" 0.375 0.305 0.09 0.3245 0.1395 0.0565 0.095 5 "A1"
"2144" "F" 0.61 0.45 0.16 1.136 0.414 0.311 0.3 9 "A3"
"2145" "I" 0.38 0.28 0.085 0.2735 0.115 0.061 0.085 6 "A1"
"2146" "F" 0.37 0.275 0.085 0.2405 0.104 0.0535 0.07 5 "A1"
"2147" "M" 0.335 0.235 0.085 0.1545 0.066 0.0345 0.045 6 "A1"
"2148" "I" 0.165 0.115 0.015 0.0145 0.0055 0.003 0.005 4 "A1"
"2149" "M" 0.285 0.21 0.075 0.1185 0.055 0.0285 0.04 7 "A2"
"2150" "I" 0.19 0.13 0.03 0.0295 0.0155 0.015 0.01 6 "A1"
"2151" "I" 0.215 0.15 0.03 0.0385 0.0115 0.005 0.01 5 "A1"
"2152" "M" 0.595 0.465 0.125 0.799 0.3245 0.2 0.23 10 "A3"
"2153" "F" 0.645 0.5 0.17 1.1845 0.4805 0.274 0.355 13 "A5"
"2154" "M" 0.575 0.45 0.185 0.925 0.342 0.197 0.35 12 "A4"
"2155" "F" 0.57 0.45 0.17 1.098 0.414 0.187 0.405 20 "A6"
"2156" "F" 0.58 0.45 0.235 1.071 0.3 0.206 0.395 14 "A5"
"2157" "F" 0.595 0.48 0.2 0.975 0.358 0.2035 0.34 15 "A6"
"2158" "F" 0.595 0.47 0.25 1.283 0.462 0.2475 0.445 14 "A5"
"2159" "F" 0.625 0.42 0.165 1.0595 0.358 0.165 0.445 21 "A6"
"2160" "M" 0.535 0.42 0.165 0.9195 0.3355 0.1985 0.26 16 "A6"
"2161" "M" 0.55 0.43 0.16 0.9295 0.317 0.1735 0.355 13 "A5"
"2162" "M" 0.495 0.4 0.155 0.8085 0.2345 0.1155 0.35 6 "A1"
"2163" "I" 0.32 0.235 0.08 0.1485 0.064 0.031 0.045 6 "A1"
"2164" "M" 0.445 0.34 0.12 0.4475 0.193 0.1035 0.13 9 "A3"
"2165" "F" 0.52 0.4 0.125 0.6865 0.295 0.1715 0.185 9 "A3"
"2166" "M" 0.495 0.385 0.135 0.6335 0.2 0.1225 0.26 14 "A5"
"2167" "M" 0.47 0.37 0.135 0.547 0.222 0.1325 0.17 12 "A4"
"2168" "F" 0.49 0.37 0.14 0.585 0.243 0.115 0.195 10 "A3"
"2169" "M" 0.58 0.47 0.165 0.927 0.3215 0.1985 0.315 11 "A4"
"2170" "M" 0.645 0.495 0.185 1.4935 0.5265 0.2785 0.455 15 "A6"
"2171" "F" 0.575 0.485 0.165 1.0405 0.419 0.264 0.3 14 "A5"
"2172" "I" 0.215 0.17 0.055 0.0605 0.0205 0.014 0.02 6 "A1"
"2173" "I" 0.43 0.325 0.11 0.3675 0.1355 0.0935 0.12 13 "A5"
"2174" "I" 0.26 0.215 0.08 0.099 0.037 0.0255 0.045 5 "A1"
"2175" "I" 0.37 0.28 0.09 0.233 0.0905 0.0545 0.07 11 "A4"
"2176" "I" 0.405 0.305 0.105 0.3625 0.1565 0.0705 0.125 10 "A3"
"2177" "I" 0.27 0.19 0.08 0.081 0.0265 0.0195 0.03 6 "A1"
"2178" "F" 0.68 0.55 0.2 1.596 0.525 0.4075 0.585 21 "A6"
"2179" "F" 0.65 0.515 0.195 1.4005 0.5195 0.36 0.44 13 "A5"
"2180" "F" 0.645 0.49 0.215 1.406 0.4265 0.2285 0.51 25 "A6"
"2181" "M" 0.57 0.405 0.16 0.9245 0.3445 0.2185 0.295 19 "A6"
"2182" "M" 0.615 0.48 0.19 1.36 0.5305 0.2375 0.47 18 "A6"
"2183" "M" 0.42 0.345 0.105 0.43 0.175 0.096 0.13 7 "A2"
"2184" "I" 0.275 0.22 0.08 0.1365 0.0565 0.0285 0.042 6 "A1"
"2185" "F" 0.29 0.225 0.075 0.14 0.0515 0.0235 0.04 5 "A1"
"2186" "M" 0.42 0.34 0.115 0.4215 0.175 0.093 0.135 8 "A2"
"2187" "F" 0.625 0.525 0.215 1.5765 0.5115 0.2595 0.665 16 "A6"
"2188" "F" 0.55 0.465 0.18 1.2125 0.3245 0.205 0.525 27 "A6"
"2189" "M" 0.66 0.505 0.2 1.6305 0.4865 0.297 0.61 18 "A6"
"2190" "M" 0.565 0.47 0.195 1.142 0.387 0.258 0.35 17 "A6"
"2191" "F" 0.595 0.495 0.235 1.366 0.5065 0.219 0.52 13 "A5"
"2192" "M" 0.63 0.51 0.23 1.539 0.5635 0.2815 0.57 17 "A6"
"2193" "F" 0.43 0.325 0.12 0.445 0.165 0.0995 0.155 8 "A2"
"2194" "F" 0.455 0.35 0.14 0.5725 0.1965 0.1325 0.175 10 "A3"
"2195" "I" 0.33 0.26 0.08 0.19 0.0765 0.0385 0.065 7 "A2"
"2196" "F" 0.515 0.415 0.13 0.764 0.276 0.196 0.25 13 "A5"
"2197" "M" 0.495 0.39 0.15 0.853 0.3285 0.189 0.27 14 "A5"
"2198" "F" 0.485 0.375 0.145 0.5885 0.2385 0.1155 0.19 13 "A5"
"2199" "F" 0.535 0.46 0.145 0.7875 0.3395 0.2005 0.2 8 "A2"
"2200" "M" 0.58 0.465 0.175 1.035 0.401 0.1865 0.385 17 "A6"
"2201" "F" 0.625 0.525 0.195 1.352 0.4505 0.2445 0.53 13 "A5"
"2202" "F" 0.555 0.455 0.18 0.958 0.296 0.195 0.39 14 "A5"
"2203" "F" 0.55 0.425 0.145 0.797 0.297 0.15 0.265 9 "A3"
"2204" "M" 0.59 0.475 0.155 0.857 0.356 0.174 0.28 13 "A5"
"2205" "I" 0.355 0.28 0.11 0.2235 0.0815 0.0525 0.08 7 "A2"
"2206" "I" 0.275 0.2 0.075 0.086 0.0305 0.019 0.03 7 "A2"
"2207" "F" 0.505 0.39 0.175 0.692 0.267 0.15 0.215 12 "A4"
"2208" "M" 0.37 0.28 0.095 0.2225 0.0805 0.051 0.075 7 "A2"
"2209" "M" 0.555 0.43 0.165 0.7575 0.2735 0.1635 0.275 13 "A5"
"2210" "F" 0.505 0.4 0.165 0.729 0.2675 0.155 0.25 9 "A3"
"2211" "F" 0.56 0.445 0.18 0.903 0.3575 0.2045 0.295 9 "A3"
"2212" "M" 0.595 0.475 0.17 1.0965 0.419 0.229 0.35 17 "A6"
"2213" "F" 0.57 0.45 0.165 0.903 0.3305 0.1845 0.295 14 "A5"
"2214" "M" 0.6 0.48 0.175 1.229 0.4125 0.2735 0.415 13 "A5"
"2215" "F" 0.56 0.435 0.185 1.106 0.422 0.2435 0.33 15 "A6"
"2216" "M" 0.585 0.465 0.19 1.171 0.3905 0.2355 0.4 17 "A6"
"2217" "I" 0.46 0.335 0.11 0.444 0.225 0.0745 0.11 8 "A2"
"2218" "F" 0.46 0.36 0.115 0.4755 0.2105 0.105 0.16 8 "A2"
"2219" "F" 0.435 0.32 0.12 0.3785 0.152 0.0915 0.125 11 "A4"
"2220" "F" 0.475 0.38 0.135 0.486 0.1735 0.07 0.185 7 "A2"
"2221" "M" 0.465 0.36 0.13 0.5265 0.2105 0.1185 0.165 10 "A3"
"2222" "I" 0.355 0.28 0.1 0.2275 0.0935 0.0455 0.085 11 "A4"
"2223" "M" 0.46 0.375 0.14 0.5105 0.192 0.1045 0.205 9 "A3"
"2224" "F" 0.38 0.325 0.11 0.3105 0.12 0.074 0.105 10 "A3"
"2225" "F" 0.47 0.365 0.12 0.543 0.2295 0.1495 0.15 9 "A3"
"2226" "M" 0.36 0.27 0.09 0.2225 0.083 0.053 0.075 6 "A1"
"2227" "F" 0.585 0.455 0.165 0.998 0.345 0.2495 0.315 12 "A4"
"2228" "M" 0.655 0.59 0.2 1.5455 0.654 0.3765 0.415 11 "A4"
"2229" "M" 0.6 0.485 0.175 1.2675 0.4995 0.2815 0.38 13 "A5"
"2230" "F" 0.57 0.46 0.17 1.1 0.4125 0.2205 0.38 14 "A5"
"2231" "F" 0.645 0.5 0.2 1.4285 0.639 0.305 0.36 11 "A4"
"2232" "M" 0.65 0.495 0.18 1.793 0.8005 0.339 0.53 14 "A5"
"2233" "M" 0.51 0.395 0.145 0.6185 0.216 0.1385 0.24 12 "A4"
"2234" "M" 0.52 0.38 0.135 0.5825 0.2505 0.1565 0.175 8 "A2"
"2235" "M" 0.495 0.415 0.165 0.7485 0.264 0.134 0.285 13 "A5"
"2236" "M" 0.43 0.335 0.115 0.406 0.166 0.0935 0.135 8 "A2"
"2237" "F" 0.59 0.465 0.16 1.1005 0.506 0.2525 0.295 13 "A5"
"2238" "M" 0.55 0.46 0.175 0.869 0.3155 0.1825 0.32 10 "A3"
"2239" "M" 0.585 0.43 0.16 0.955 0.3625 0.176 0.27 11 "A4"
"2240" "F" 0.58 0.455 0.16 0.9215 0.312 0.196 0.3 17 "A6"
"2241" "F" 0.62 0.51 0.15 1.456 0.581 0.2875 0.32 13 "A5"
"2242" "I" 0.59 0.45 0.16 0.893 0.2745 0.2185 0.345 14 "A5"
"2243" "F" 0.72 0.575 0.215 2.226 0.8955 0.405 0.62 13 "A5"
"2244" "F" 0.635 0.51 0.175 1.2125 0.5735 0.261 0.36 14 "A5"
"2245" "F" 0.61 0.48 0.175 1.0675 0.391 0.216 0.42 15 "A6"
"2246" "F" 0.545 0.445 0.175 0.8525 0.3465 0.189 0.295 13 "A5"
"2247" "M" 0.57 0.45 0.16 0.8615 0.3725 0.2175 0.255 12 "A4"
"2248" "F" 0.6 0.475 0.18 1.162 0.511 0.2675 0.32 18 "A6"
"2249" "F" 0.52 0.41 0.17 0.8705 0.3735 0.219 0.25 14 "A5"
"2250" "M" 0.635 0.51 0.21 1.598 0.6535 0.2835 0.58 15 "A6"
"2251" "F" 0.67 0.52 0.15 1.406 0.519 0.348 0.37 13 "A5"
"2252" "M" 0.695 0.57 0.2 2.033 0.751 0.4255 0.685 15 "A6"
"2253" "M" 0.655 0.525 0.185 1.259 0.487 0.2215 0.445 20 "A6"
"2254" "F" 0.62 0.48 0.23 1.0935 0.403 0.245 0.355 14 "A5"
"2255" "F" 0.6 0.475 0.18 1.1805 0.4345 0.2475 0.425 19 "A6"
"2256" "M" 0.51 0.405 0.13 0.7175 0.3725 0.158 0.17 9 "A3"
"2257" "M" 0.525 0.405 0.135 0.7575 0.3305 0.216 0.195 10 "A3"
"2258" "M" 0.44 0.375 0.13 0.487 0.226 0.0965 0.155 9 "A3"
"2259" "I" 0.485 0.415 0.14 0.5705 0.25 0.134 0.185 8 "A2"
"2260" "F" 0.495 0.385 0.13 0.6905 0.3125 0.179 0.175 10 "A3"
"2261" "I" 0.435 0.345 0.12 0.4475 0.221 0.112 0.125 7 "A2"
"2262" "I" 0.405 0.315 0.105 0.347 0.1605 0.0785 0.1 9 "A3"
"2263" "I" 0.42 0.33 0.1 0.352 0.1635 0.089 0.1 9 "A3"
